Roll_Number	Programme_Code	splcode	Roll_Number_S	Course_Code	Course code	Courses_Name	Credits	Course_Type	Semester	Specialization	Batch	Programme	SCHOOL
20/MBT/011	101	101I-	20MBT011	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/011	101	101I-	20MBT011	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/012	101	101I-	20MBT012	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/013	101	101I-	20MBT013	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/014	101	101I-	20MBT014	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/015	101	101I-	20MBT015	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/016	101	101I-	20MBT016	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/016	101	101I-	20MBT016	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/016	101	101I-	20MBT016	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/016	101	101I-	20MBT016	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/016	101	101I-	20MBT016	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/016	101	101I-	20MBT016	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/016	101	101I-	20MBT016	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/016	101	101I-	20MBT016	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/016	101	101I-	20MBT016	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/016	101	101I-	20MBT016	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/016	101	101I-	20MBT016	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/017	101	101I-	20MBT017	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/017	101	101I-	20MBT017	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/017	101	101I-	20MBT017	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/017	101	101I-	20MBT017	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/017	101	101I-	20MBT017	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/017	101	101I-	20MBT017	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/017	101	101I-	20MBT017	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
